Name,Type,Category,Power,Acc,PP,Effect
Absorb,Grass,special,40,100,25,User recovers half the HP inflicted on opponent.
Acid,Poison,special,40,100,30,May lower opponent's Special Defense.
Acid Armor,Poison,status,0,0,20,Sharply raises user's Defense.
Acid Spray,Poison,special,40,100,20,Sharply lowers opponent's Special Defense.
Acrobatics,Flying,physical,55,100,15,Stronger when the user does not have a held item.
Acupressure,Normal,status,0,0,30,Sharply raises a random stat.
Aerial Ace,Flying,physical,60,0,20,Ignores Accuracy and Evasiveness.
Aeroblast,Flying,special,100,95,5,High critical hit ratio.
After You,Normal,status,0,0,15,Gives target priority in the next turn.
Agility,Psychic,status,0,0,30,Sharply raises user's Speed.
Air Cutter,Flying,special,60,95,25,High critical hit ratio.
Air Slash,Flying,special,75,95,15,May cause flinching.
Ally Switch,Psychic,status,0,0,15,User switches with opposite teammate.
Amnesia,Psychic,status,0,0,20,Sharply raises user's Special Defense.
Ancient Power,Rock,special,60,100,5,May raise all user's stats at once.
Aqua Jet,Water,physical,40,100,20,User attacks first.
Aqua Ring,Water,status,0,0,20,Restores a little HP each turn.
Aqua Tail,Water,physical,90,90,10,
Arm Thrust,Fighting,physical,15,100,20,Hits 2-5 times in one turn.
Aromatherapy,Grass,status,0,0,5,Cures all status problems in your party.
Aromatic Mist,Fairy,status,0,0,20,Raises Special Defense of an ally.
Assist,Normal,status,0,0,20,User performs a move known by its allies at random.
Assurance,Dark,physical,60,100,10,Power doubles if opponent already took damage in the same turn.
Astonish,Ghost,physical,30,100,15,May cause flinching.
Attack Order,Bug,physical,90,100,15,High critical hit ratio.
Attract,Normal,status,0,100,15,"If opponent is the opposite gender, it's less likely to attack."
Aura Sphere,Fighting,special,80,0,20,Ignores Accuracy and Evasiveness.
Aurora Beam,Ice,special,65,100,20,May lower opponent's Attack.
Autotomize,Steel,status,0,0,15,Reduces weight and sharply raises Speed.
Avalanche,Ice,physical,60,100,10,Power doubles if user took damage first.
Baby-Doll Eyes,Fairy,status,0,100,30,Always goes first. Lowers the target's attack.
Barrage,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Barrier,Psychic,status,0,0,20,Sharply raises user's Defense.
Baton Pass,Normal,status,0,0,40,User switches out and gives stat changes to the incoming Pokémon.
Beat Up,Dark,physical,0,100,10,Each Pokémon in user's party attacks.
Belch,Poison,special,120,90,10,User must have consumed a Berry.
Belly Drum,Normal,status,0,0,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bestow,Normal,status,0,0,15,Gives the user's held item to the target.
Bide,Normal,physical,0,0,10,User takes damage for two turns then strikes back double.
Bind,Normal,physical,15,85,20,"Traps opponent, damaging them for 4-5 turns."
Bite,Dark,physical,60,100,25,May cause flinching.
Blast Burn,Fire,special,150,90,5,User must recharge next turn.
Blaze Kick,Fire,physical,85,90,10,High critical hit ratio. May burn opponent.
Blizzard,Ice,special,110,70,5,May freeze opponent.
Block,Normal,status,0,0,5,Opponent cannot flee or switch.
Blue Flare,Fire,special,130,85,5,May burn opponent.
Body Slam,Normal,physical,85,100,15,May paralyze opponent.
Bolt Strike,Electric,physical,130,85,5,May paralyze opponent.
Bone Club,Ground,physical,65,85,20,May cause flinching.
Bone Rush,Ground,physical,25,90,10,Hits 2-5 times in one turn.
Bonemerang,Ground,physical,50,90,10,Hits twice in one turn.
Boomburst,Normal,special,140,100,10,Hits all adjacent Pokémon.
Bounce,Flying,physical,85,85,5,"Springs up on first turn, attacks on second. May paralyze opponent."
Brave Bird,Flying,physical,120,100,15,User receives recoil damage.
Brick Break,Fighting,physical,75,100,15,Breaks through Reflect and Light Screen barriers.
Brine,Water,special,65,100,10,Power doubles if opponent's HP is less than 50%.
Bubble,Water,special,40,100,30,May lower opponent's Speed.
Bubble Beam,Water,special,65,100,20,May lower opponent's Speed.
Bug Bite,Bug,physical,60,100,20,Receives the effect from the opponent's held berry.
Bug Buzz,Bug,special,90,100,10,May lower opponent's Special Defense.
Bulk Up,Fighting,status,0,0,20,Raises user's Attack and Defense.
Bulldoze,Ground,physical,60,100,20,Lowers opponent's Speed.
Bullet Punch,Steel,physical,40,100,30,User attacks first.
Bullet Seed,Grass,physical,25,100,30,Hits 2-5 times in one turn.
Calm Mind,Psychic,status,0,0,20,Raises user's Special Attack and Special Defense.
Camouflage,Normal,status,0,0,20,Changes user's type according to the location.
Captivate,Normal,status,0,100,20,Sharply lowers opponent's Special Attack if opposite gender.
Celebrate,Normal,status,0,0,40,The Pokémon congratulates you on your special day. No battle effect.
Charge,Electric,status,0,0,20,Raises user's Special Defense and next Electric move's power increases.
Charge Beam,Electric,special,50,90,10,May raise user's Special Attack.
Charm,Fairy,status,0,100,20,Sharply lowers opponent's Attack.
Chatter,Flying,special,65,100,20,Confuses opponent.
Chip Away,Normal,physical,70,100,20,Ignores opponent's stat changes.
Circle Throw,Fighting,physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Clamp,Water,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Clear Smog,Poison,special,50,0,15,Removes all of the target's stat changes.
Close Combat,Fighting,physical,120,100,5,Lowers user's Defense and Special Defense.
Coil,Poison,status,0,0,20,"Raises user's Attack, Defense and Accuracy."
Comet Punch,Normal,physical,18,85,15,Hits 2-5 times in one turn.
Confide,Normal,status,0,0,20,Lowers opponent's Special Attack.
Confuse Ray,Ghost,status,0,100,10,Confuses opponent.
Confusion,Psychic,special,50,100,25,May confuse opponent.
Constrict,Normal,physical,10,100,35,May lower opponent's Speed by one stage.
Conversion,Normal,status,0,0,30,Changes user's type to that of its first move.
Conversion 2,Normal,status,0,0,30,User changes type to become resistant to opponent's last move.
Copycat,Normal,status,0,0,20,Copies opponent's last move.
Cosmic Power,Psychic,status,0,0,20,Raises user's Defense and Special Defense.
Cotton Guard,Grass,status,0,0,10,Drastically raises user's Defense.
Cotton Spore,Grass,status,0,100,40,Sharply lowers opponent's Speed.
Counter,Fighting,physical,0,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
Covet,Normal,physical,60,100,25,Opponent's item is stolen by the user.
Crabhammer,Water,physical,100,90,10,High critical hit ratio.
Crafty Shield,Fairy,status,0,0,10,Protects the Pokémon from status moves.
Cross Chop,Fighting,physical,100,80,5,High critical hit ratio.
Cross Poison,Poison,physical,70,100,20,High critical hit ratio. May poison opponent.
Crunch,Dark,physical,80,100,15,May lower opponent's Defense.
Crush Claw,Normal,physical,75,95,10,May lower opponent's Defense.
Crush Grip,Normal,physical,0,100,5,More powerful when opponent has higher HP.
Curse,Ghost,status,0,0,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,Normal,physical,50,95,30,
Dark Pulse,Dark,special,80,100,15,May cause flinching.
Dark Void,Dark,status,0,50,10,Puts all adjacent opponents to sleep.
Dazzling Gleam,Fairy,special,80,100,10,Hits all adjacent opponents.
Defend Order,Bug,status,0,0,10,Raises user's Defense and Special Defense.
Defense Curl,Normal,status,0,0,40,Raises user's Defense.
Defog,Flying,status,0,0,15,Lowers opponent's Evasiveness and clears fog.
Destiny Bond,Ghost,status,0,0,5,"If the user faints, the opponent also faints."
Detect,Fighting,status,0,0,5,"Protects the user, but may fail if used consecutively."
Diamond Storm,Rock,physical,100,95,5,May sharply raise user's Defense.
Dig,Ground,physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,status,0,100,20,Opponent can't use its last attack for a few turns.
Disarming Voice,Fairy,special,40,0,15,Ignores Accuracy and Evasiveness.
Discharge,Electric,special,80,100,15,May paralyze opponent.
Dive,Water,physical,80,100,10,"Dives underwater on first turn, attacks on second turn."
Dizzy Punch,Normal,physical,70,100,10,May confuse opponent.
Doom Desire,Steel,special,140,100,5,Damage occurs 2 turns later.
Double Hit,Normal,physical,35,90,10,Hits twice in one turn.
Double Kick,Fighting,physical,30,100,30,Hits twice in one turn.
Double Slap,Normal,physical,15,85,10,Hits 2-5 times in one turn.
Double Team,Normal,status,0,0,15,Raises user's Evasiveness.
Double-Edge,Normal,physical,120,100,15,User receives recoil damage.
Draco Meteor,Dragon,special,130,90,5,Sharply lowers user's Special Attack.
Dragon Ascent,Flying,physical,120,100,5,Lowers user's Defense and Special Defense.
Dragon Breath,Dragon,special,60,100,20,May paralyze opponent.
Dragon Claw,Dragon,physical,80,100,15,
Dragon Dance,Dragon,status,0,0,20,Raises user's Attack and Speed.
Dragon Pulse,Dragon,special,85,100,10,
Dragon Rage,Dragon,special,0,100,10,Always inflicts 40 HP.
Dragon Rush,Dragon,physical,100,75,10,May cause flinching.
Dragon Tail,Dragon,physical,60,90,10,"In battles, the opponent switches. In the wild, the Pokémon runs."
Drain Punch,Fighting,physical,75,100,10,User recovers half the HP inflicted on opponent.
Draining Kiss,Fairy,special,50,100,10,User recovers most the HP inflicted on opponent.
Dream Eater,Psychic,special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Flying,physical,80,100,20,
Drill Run,Ground,physical,80,95,10,High critical hit ratio.
Dual Chop,Dragon,physical,40,90,15,Hits twice in one turn.
Dynamic Punch,Fighting,physical,100,50,5,Confuses opponent.
Earth Power,Ground,special,90,100,10,May lower opponent's Special Defense.
Earthquake,Ground,physical,100,100,10,Power is doubled if opponent is underground from using Dig.
Echoed Voice,Normal,special,40,100,15,Power increases each turn.
Eerie Impulse,Electric,status,0,100,15,Sharply lowers opponent's Special Attack.
Egg Bomb,Normal,physical,100,75,10,
Electric Terrain,Electric,status,0,0,10,Prevents all Pokémon from falling asleep for 5 turns.
Electrify,Electric,status,0,0,20,Changes the target's move to Electric type.
Electro Ball,Electric,special,0,100,10,"The faster the user, the stronger the attack."
Electroweb,Electric,special,55,95,15,Lowers opponent's Speed.
Embargo,Dark,status,0,100,15,Opponent cannot use items.
Ember,Fire,special,40,100,25,May burn opponent.
Encore,Normal,status,0,100,5,Forces opponent to keep using its last move for 3 turns.
Endeavor,Normal,physical,0,100,5,Reduces opponent's HP to same as user's.
Endure,Normal,status,0,0,10,"Always left with at least 1 HP, but may fail if used consecutively."
Energy Ball,Grass,special,90,100,10,May lower opponent's Special Defense.
Entrainment,Normal,status,0,100,15,Makes target's ability same as user's.
Eruption,Fire,special,150,100,5,Stronger when the user's HP is higher.
Explosion,Normal,physical,250,100,5,User faints.
Extrasensory,Psychic,special,80,100,20,May cause flinching.
Extreme Speed,Normal,physical,80,100,5,User attacks first.
Facade,Normal,physical,70,100,20,"Power doubles if user is burned, poisoned, or paralyzed."
Fairy Lock,Fairy,status,0,0,10,Prevents fleeing in the next turn.
Fairy Wind,Fairy,special,40,100,30,
Fake Out,Normal,physical,40,100,10,"User attacks first, foe flinches. Only usable on first turn."
Fake Tears,Dark,status,0,100,20,Sharply lowers opponent's Special Defense.
False Swipe,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.
Feather Dance,Flying,status,0,100,15,Sharply lowers opponent's Attack.
Feint,Normal,physical,30,100,10,Only hits if opponent uses Protect or Detect in the same turn.
Feint Attack,Dark,physical,60,0,20,Ignores Accuracy and Evasiveness.
Fell Stinger,Bug,physical,30,100,25,Drastically raises user's Attack if target is KO'd.
Fiery Dance,Fire,special,80,100,10,May raise user's Special Attack.
Final Gambit,Fighting,special,0,100,5,Inflicts damage equal to the user's remaining HP. User faints.
Fire Blast,Fire,special,110,85,5,May burn opponent.
Fire Fang,Fire,physical,65,95,15,May cause flinching and/or burn opponent.
Fire Pledge,Fire,special,80,100,10,Added effects appear if combined with Grass Pledge or Water Pledge.
Fire Punch,Fire,physical,75,100,15,May burn opponent.
Fire Spin,Fire,special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Fissure,Ground,physical,0,30,5,"One-Hit-KO, if it hits."
Flail,Normal,physical,0,100,15,"The lower the user's HP, the higher the power."
Flame Burst,Fire,special,70,100,15,May also injure nearby Pokémon.
Flame Charge,Fire,physical,50,100,20,Raises user's Speed.
Flame Wheel,Fire,physical,60,100,25,May burn opponent.
Flamethrower,Fire,special,90,100,15,May burn opponent.
Flare Blitz,Fire,physical,120,100,15,User receives recoil damage. May burn opponent.
Flash,Normal,status,0,100,20,Lowers opponent's Accuracy.
Flash Cannon,Steel,special,80,100,10,May lower opponent's Special Defense.
Flatter,Dark,status,0,100,15,"Confuses opponent, but raises its Special Attack by two stages."
Fling,Dark,physical,0,100,10,Power depends on held item.
Flower Shield,Fairy,status,0,0,10,Sharply raises Defense of all Grass-type Pokémon on the field.
Fly,Flying,physical,90,95,15,"Flies up on first turn, attacks on second turn."
Flying Press,Fighting,physical,80,95,10,Deals Fighting and Flying type damage.
Focus Blast,Fighting,special,120,70,5,May lower opponent's Special Defense.
Focus Energy,Normal,status,0,0,30,Increases critical hit ratio.
Focus Punch,Fighting,physical,150,100,20,"If the user is hit before attacking, it flinches instead."
Follow Me,Normal,status,0,0,20,"In Double Battle, the user takes all the attacks."
Force Palm,Fighting,physical,60,100,10,May paralyze opponent.
Foresight,Normal,status,0,0,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Forest's Curse,Grass,status,0,100,20,Adds Grass type to opponent.
Foul Play,Dark,physical,95,100,15,Uses the opponent's Attack stat.
Freeze Shock,Ice,physical,140,90,5,"Charges on first turn, attacks on second. May paralyze opponent."
Freeze-Dry,Ice,special,70,100,20,May freeze opponent. Super-effective against Water types.
Frenzy Plant,Grass,special,150,90,5,User must recharge next turn.
Frost Breath,Ice,special,60,90,10,Always results in a critical hit.
Frustration,Normal,physical,0,100,20,Power decreases with higher Friendship.
Fury Attack,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,physical,40,95,20,Power increases each turn.
Fury Swipes,Normal,physical,18,80,15,Hits 2-5 times in one turn.
Fusion Bolt,Electric,physical,100,100,5,Power increases if Fusion Flare is used in the same turn.
Fusion Flare,Fire,special,100,100,5,Power increases if Fusion Bolt is used in the same turn.
Future Sight,Psychic,special,120,100,10,Damage occurs 2 turns later.
Gastro Acid,Poison,status,0,100,10,Cancels out the effect of the opponent's Ability.
Gear Grind,Steel,physical,50,85,15,Hits twice in one turn.
Geomancy,Fairy,status,0,0,10,"Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second."
Giga Drain,Grass,special,75,100,10,User recovers half the HP inflicted on opponent.
Giga Impact,Normal,physical,150,90,5,User must recharge next turn.
Glaciate,Ice,special,65,95,10,Lowers opponent's Speed.
Glare,Normal,status,0,100,30,Paralyzes opponent.
Grass Knot,Grass,special,0,100,20,"The heavier the opponent, the stronger the attack."
Grass Pledge,Grass,special,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
Grass Whistle,Grass,status,0,55,15,Puts opponent to sleep.
Grassy Terrain,Grass,status,0,0,10,Restores a little HP of all Pokémon for 5 turns.
Gravity,Psychic,status,0,0,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Growl,Normal,status,0,100,40,Lowers opponent's Attack.
Growth,Normal,status,0,0,20,Raises user's Attack and Special Attack.
Grudge,Ghost,status,0,0,5,"If the users faints after using this move, the PP for the opponent's last move is depleted."
Guard Split,Psychic,status,0,0,10,Averages Defense and Special Defense with the target.
Guard Swap,Psychic,status,0,0,10,User and opponent swap Defense and Special Defense.
Guillotine,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Gunk Shot,Poison,physical,120,80,5,May poison opponent.
Gust,Flying,special,40,100,35,Hits Pokémon using Fly/Bounce with double power.
Gyro Ball,Steel,physical,0,100,5,"The slower the user, the stronger the attack."
Hail,Ice,status,0,0,10,Non-Ice types are damaged for 5 turns.
