Name,Type,Category,Power,Acc,PP,Effect
Absorb,Grass,special,20,100,25,User recovers half the HP inflicted on opponent.
Acid,Poison,special,40,100,30,May lower opponent's Special Defense.
Acid Armor,Poison,status,0,0,20,Sharply raises user's Defense.
Aeroblast,Flying,special,100,95,5,High critical hit ratio.
Agility,Psychic,status,0,0,30,Sharply raises user's Speed.
Amnesia,Psychic,status,0,0,20,Sharply raises user's Special Defense.
Ancient Power,Rock,special,60,100,5,May raise all user's stats at once.
Attract,Normal,status,0,100,15,"If opponent is the opposite gender, it's less likely to attack."
Aurora Beam,Ice,special,65,100,20,May lower opponent's Attack.
Barrage,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Barrier,Psychic,status,0,0,20,Sharply raises user's Defense.
Baton Pass,Normal,status,0,0,40,User switches out and gives stat changes to the incoming Pokémon.
Beat Up,Dark,physical,0,100,10,Each Pokémon in user's party attacks.
Belly Drum,Normal,status,0,0,10,"User loses 50% of its max HP, but Attack raises to maximum."
Bide,Normal,physical,0,0,10,User takes damage for two turns then strikes back double.
Bind,Normal,physical,15,85,20,"Traps opponent, damaging them for 4-5 turns."
Bite,Dark,physical,60,100,25,May cause flinching.
Blizzard,Ice,special,110,70,5,May freeze opponent.
Body Slam,Normal,physical,85,100,15,May paralyze opponent.
Bone Club,Ground,physical,65,85,20,May cause flinching.
Bone Rush,Ground,physical,25,90,10,Hits 2-5 times in one turn.
Bonemerang,Ground,physical,50,90,10,Hits twice in one turn.
Bubble,Water,special,40,100,30,May lower opponent's Speed.
Bubble Beam,Water,special,65,100,20,May lower opponent's Speed.
Charm,Fairy,status,0,100,20,Sharply lowers opponent's Attack.
Clamp,Water,physical,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Comet Punch,Normal,physical,18,85,15,Hits 2-5 times in one turn.
Confuse Ray,Ghost,status,0,100,10,Confuses opponent.
Confusion,Psychic,special,50,100,25,May confuse opponent.
Constrict,Normal,physical,10,100,35,May lower opponent's Speed by one stage.
Conversion,Normal,status,0,0,30,Changes user's type to that of its first move.
Conversion 2,Normal,status,0,0,30,User changes type to become resistant to opponent's last move.
Cotton Spore,Grass,status,0,100,40,Sharply lowers opponent's Speed.
Counter,Fighting,physical,0,100,20,"When hit by a Physical Attack, user strikes back with 2x power."
Crabhammer,Water,physical,100,90,10,High critical hit ratio.
Cross Chop,Fighting,physical,100,80,5,High critical hit ratio.
Crunch,Dark,physical,80,100,15,May lower opponent's Defense.
Curse,Ghost,status,0,0,10,"Ghosts lose 50% of max HP and curse the opponent; Non-Ghosts raise Attack, Defense and lower Speed."
Cut,Normal,physical,50,95,30,
Defense Curl,Normal,status,0,0,40,Raises user's Defense.
Destiny Bond,Ghost,status,0,0,5,"If the user faints, the opponent also faints."
Detect,Fighting,status,0,0,5,"Protects the user, but may fail if used consecutively."
Dig,Ground,physical,80,100,10,"Digs underground on first turn, attacks on second. Can also escape from caves."
Disable,Normal,status,0,100,20,Opponent can't use its last attack for a few turns.
Dizzy Punch,Normal,physical,70,100,10,May confuse opponent.
Double Kick,Fighting,physical,30,100,30,Hits twice in one turn.
Double Slap,Normal,physical,15,85,10,Hits 2-5 times in one turn.
Double Team,Normal,status,0,0,15,Raises user's Evasiveness.
Double-Edge,Normal,physical,120,100,15,User receives recoil damage.
Dragon Breath,Dragon,special,60,100,20,May paralyze opponent.
Dragon Rage,Dragon,special,0,100,10,Always inflicts 40 HP.
Dream Eater,Psychic,special,100,100,15,User recovers half the HP inflicted on a sleeping opponent.
Drill Peck,Flying,physical,80,100,20,
Dynamic Punch,Fighting,physical,100,50,5,Confuses opponent.
Earthquake,Ground,physical,100,100,10,Power is doubled if opponent is underground from using Dig.
Egg Bomb,Normal,physical,100,75,10,
Ember,Fire,special,40,100,25,May burn opponent.
Encore,Normal,status,0,100,5,Forces opponent to keep using its last move for 3 turns.
Endure,Normal,status,0,0,10,"Always left with at least 1 HP, but may fail if used consecutively."
Explosion,Normal,physical,250,100,5,User faints.
Extreme Speed,Normal,physical,80,100,5,User attacks first.
False Swipe,Normal,physical,40,100,40,Always leaves opponent with at least 1 HP.
Feint Attack,Dark,physical,60,0,20,Ignores Accuracy and Evasiveness.
Fire Blast,Fire,special,110,85,5,May burn opponent.
Fire Punch,Fire,physical,75,100,15,May burn opponent.
Fire Spin,Fire,special,35,85,15,"Traps opponent, damaging them for 4-5 turns."
Fissure,Ground,physical,0,30,5,"One-Hit-KO, if it hits."
Flail,Normal,physical,0,100,15,"The lower the user's HP, the higher the power."
Flame Wheel,Fire,physical,60,100,25,May burn opponent.
Flamethrower,Fire,special,90,100,15,May burn opponent.
Flash,Normal,status,0,100,20,Lowers opponent's Accuracy.
Fly,Flying,physical,90,95,15,"Flies up on first turn, attacks on second turn."
Focus Energy,Normal,status,0,0,30,Increases critical hit ratio.
Foresight,Normal,status,0,0,40,"Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal."
Frustration,Normal,physical,0,100,20,Power decreases with higher Friendship.
Fury Attack,Normal,physical,15,85,20,Hits 2-5 times in one turn.
Fury Cutter,Bug,physical,40,95,20,Power increases each turn.
Fury Swipes,Normal,physical,18,80,15,Hits 2-5 times in one turn.
Future Sight,Psychic,special,120,100,10,Damage occurs 2 turns later.
Giga Drain,Grass,special,75,100,10,User recovers half the HP inflicted on opponent.
Glare,Normal,status,0,100,30,Paralyzes opponent.
Growl,Normal,status,0,100,40,Lowers opponent's Attack.
Growth,Normal,status,0,0,20,Raises user's Attack and Special Attack.
Guillotine,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Gust,Flying,special,40,100,35,Hits Pokémon using Fly/Bounce with double power.
Harden,Normal,status,0,0,30,Raises user's Defense.
Haze,Ice,status,0,0,30,Resets all stat changes.
Headbutt,Normal,physical,70,100,15,May cause flinching.
Heal Bell,Normal,status,0,0,5,Heals the user's party's status conditions.
Hidden Power,Normal,special,60,100,15,Type and power depends on user's IVs.
High Jump Kick,Fighting,physical,130,90,10,"If it misses, the user loses half their HP."
Horn Attack,Normal,physical,65,100,25,
Horn Drill,Normal,physical,0,30,5,"One-Hit-KO, if it hits."
Hydro Pump,Water,special,110,80,5,
Hyper Beam,Normal,special,150,90,5,User must recharge next turn.
Hyper Fang,Normal,physical,80,90,15,May cause flinching.
Hypnosis,Psychic,status,0,60,20,Puts opponent to sleep.
Ice Beam,Ice,special,90,100,10,May freeze opponent.
Ice Punch,Ice,physical,75,100,15,May freeze opponent.
Icy Wind,Ice,special,55,95,15,Lowers opponent's Speed.
Iron Tail,Steel,physical,100,75,15,May lower opponent's Defense.
Jump Kick,Fighting,physical,100,95,10,"If it misses, the user loses half their HP."
Karate Chop,Fighting,physical,50,100,25,High critical hit ratio.
Kinesis,Psychic,status,0,80,15,Lowers opponent's Accuracy.
Leech Life,Bug,physical,80,100,10,User recovers half the HP inflicted on opponent.
Leech Seed,Grass,status,0,90,10,Drains HP from opponent each turn.
Leer,Normal,status,0,100,30,Lowers opponent's Defense.
Lick,Ghost,physical,30,100,30,May paralyze opponent.
Light Screen,Psychic,status,0,0,30,Halves damage from Special attacks for 5 turns.
Lock-On,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Lovely Kiss,Normal,status,0,75,10,Puts opponent to sleep.
Low Kick,Fighting,physical,0,100,20,"The heavier the opponent, the stronger the attack."
Mach Punch,Fighting,physical,40,100,30,User attacks first.
Magnitude,Ground,physical,0,100,30,Hits with random power.
Mean Look,Normal,status,0,0,5,Opponent cannot flee or switch.
Meditate,Psychic,status,0,0,40,Raises user's Attack.
Mega Drain,Grass,special,40,100,15,User recovers half the HP inflicted on opponent.
Mega Kick,Normal,physical,120,75,5,
Mega Punch,Normal,physical,80,85,20,
Megahorn,Bug,physical,120,85,10,
Metal Claw,Steel,physical,50,95,35,May raise user's Attack.
Metronome,Normal,status,0,0,10,User performs almost any move in the game at random.
Milk Drink,Normal,status,0,0,10,User recovers half its max HP.
Mimic,Normal,status,0,0,10,Copies the opponent's last move.
Mind Reader,Normal,status,0,0,5,User's next attack is guaranteed to hit.
Minimize,Normal,status,0,0,10,Sharply raises user's Evasiveness.
Mirror Coat,Psychic,special,0,100,20,"When hit by a Special Attack, user strikes back with 2x power."
Mirror Move,Flying,status,0,0,20,User performs the opponent's last move.
Mist,Ice,status,0,0,30,User's stats cannot be changed for a period of time.
Moonlight,Fairy,status,0,0,5,User recovers HP. Amount varies with the weather.
Morning Sun,Normal,status,0,0,5,User recovers HP. Amount varies with the weather.
Mud-Slap,Ground,special,20,100,10,Lowers opponent's Accuracy.
Night Shade,Ghost,special,0,100,15,Inflicts damage equal to user's level.
Nightmare,Ghost,status,0,100,15,The sleeping opponent loses 25% of its max HP each turn.
Octazooka,Water,special,65,85,10,May lower opponent's Accuracy.
Outrage,Dragon,physical,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pain Split,Normal,status,0,0,20,The user's and opponent's HP becomes the average of both.
Pay Day,Normal,physical,40,100,20,A small amount of money is gained after the battle resolves.
Peck,Flying,physical,35,100,35,
Perish Song,Normal,status,0,0,5,Any Pokémon in play when this attack is used faints in 3 turns.
Petal Dance,Grass,special,120,100,10,User attacks for 2-3 turns but then becomes confused.
Pin Missile,Bug,physical,25,95,20,Hits 2-5 times in one turn.
Poison Gas,Poison,status,0,90,40,Poisons opponent.
Poison Powder,Poison,status,0,75,35,Poisons opponent.
Poison Sting,Poison,physical,15,100,35,May poison the opponent.
Pound,Normal,physical,40,100,35,
Powder Snow,Ice,special,40,100,25,May freeze opponent.
Present,Normal,physical,0,90,15,Either deals damage or heals.
Protect,Normal,status,0,0,10,"Protects the user, but may fail if used consecutively."
Psybeam,Psychic,special,65,100,20,May confuse opponent.
Psych Up,Normal,status,0,0,10,Copies the opponent's stat changes.
Psychic,Psychic,special,90,100,10,May lower opponent's Special Defense.
Psywave,Psychic,special,0,100,15,Inflicts damage 50-150% of user's level.
Pursuit,Dark,physical,40,100,20,Double power if the opponent is switching out.
Quick Attack,Normal,physical,40,100,30,User attacks first.
Rage,Normal,physical,20,100,20,Raises user's Attack when hit.
Rain Dance,Water,status,0,0,5,Makes it rain for 5 turns.
Rapid Spin,Normal,physical,50,100,40,Raises user's Speed and removes entry hazards and trap move effects.
Razor Leaf,Grass,physical,55,95,25,High critical hit ratio.
Razor Wind,Normal,special,80,100,10,"Charges on first turn, attacks on second. High critical hit ratio."
Recover,Normal,status,0,0,10,User recovers half its max HP.
Reflect,Psychic,status,0,0,20,Halves damage from Physical attacks for 5 turns.
Rest,Psychic,status,0,0,10,"User sleeps for 2 turns, but user is fully healed."
Return,Normal,physical,0,100,20,Power increases with higher Friendship.
Reversal,Fighting,physical,0,100,15,"The lower the user's HP, the higher the power."
Roar,Normal,status,0,0,20,"In battles, the opponent switches. In the wild, the Pokémon runs."
Rock Slide,Rock,physical,75,90,10,May cause flinching.
Rock Smash,Fighting,physical,40,100,15,May lower opponent's Defense.
Rock Throw,Rock,physical,50,90,15,
Rolling Kick,Fighting,physical,60,85,15,May cause flinching.
Rollout,Rock,physical,30,90,20,Doubles in power each turn for 5 turns.
Sacred Fire,Fire,physical,100,95,5,May burn opponent.
Safeguard,Normal,status,0,0,25,The user's party is protected from status conditions.
Sand Attack,Ground,status,0,100,15,Lowers opponent's Accuracy.
Sandstorm,Rock,status,0,0,10,Creates a sandstorm for 5 turns.
Scary Face,Normal,status,0,100,10,Sharply lowers opponent's Speed.
Scratch,Normal,physical,40,100,35,
Screech,Normal,status,0,85,40,Sharply lowers opponent's Defense.
Seismic Toss,Fighting,physical,0,100,20,Inflicts damage equal to user's level.
Self-Destruct,Normal,physical,200,100,5,User faints.
Shadow Ball,Ghost,special,80,100,15,May lower opponent's Special Defense.
Sharpen,Normal,status,0,0,30,Raises user's Attack.
Sing,Normal,status,0,55,15,Puts opponent to sleep.
Sketch,Normal,status,0,0,1,Permanently copies the opponent's last move.
Skull Bash,Normal,physical,130,100,10,"Raises Defense on first turn, attacks on second."
Sky Attack,Flying,physical,140,90,5,"Charges on first turn, attacks on second. May cause flinching. High critical hit ratio."
Slam,Normal,physical,80,75,20,
Slash,Normal,physical,70,100,20,High critical hit ratio.
Sleep Powder,Grass,status,0,75,15,Puts opponent to sleep.
Sleep Talk,Normal,status,0,0,10,User performs one of its own moves while sleeping.
Sludge,Poison,special,65,100,20,May poison opponent.
Sludge Bomb,Poison,special,90,100,10,May poison opponent.
Smog,Poison,special,30,70,20,May poison opponent.
Smokescreen,Normal,status,0,100,20,Lowers opponent's Accuracy.
Snore,Normal,special,50,100,15,Can only be used if asleep. May cause flinching.
Soft-Boiled,Normal,status,0,0,10,User recovers half its max HP.
Solar Beam,Grass,special,120,100,10,"Charges on first turn, attacks on second."
Sonic Boom,Normal,special,0,90,20,Always inflicts 20 HP.
Spark,Electric,physical,65,100,20,May paralyze opponent.
Spider Web,Bug,status,0,0,10,Opponent cannot escape/switch.
Spike Cannon,Normal,physical,20,100,15,Hits 2-5 times in one turn.
Spikes,Ground,status,0,0,20,Hurts opponents when they switch into battle.
